vintage,outstanding_balance,lifetime_pd,expected_default_exposure,ead_at_default_pct_of_opening,lgd_at_default,undiscounted_loss,lifetime_ecl,ecl_rate
2000,153916326.26999998,0.0742820643723611,10352943.167094946,0.9055140147046853,0.2683693087162525,2778412.20093192,2455183.644043432,0.0159514179135002
2001,154764605.53,0.066849897706605,9309072.214698248,0.8997751759911307,0.2662900966410963,2478913.739690941,2178646.5168935703,0.0140771626007941
2002,146547810.39,0.0657619346610127,8761019.61469586,0.909077141003474,0.2568984548044091,2250692.401526486,1989754.792038837,0.0135775129409549
2003,141511002.82,0.0664231631498732,8475631.965650722,0.9017005368617161,0.2708170628591073,2295345.754812291,2006873.4820029696,0.014181748712188
2004,148005656.34,0.0719965353163098,9664495.432151083,0.9069623826584491,0.2701154057514068,2610529.1050381074,2301091.4378199987,0.0155473209249105
2005,147537771.38,0.0656191713559881,8675431.372190338,0.8961013216469034,0.2667713702664777,2314356.714812005,2024336.2260842863,0.0137207998138346
2006,135935202.65,0.0669288574026586,8187123.7058656635,0.899882907198223,0.2670885528760146,2186687.0228165737,1913841.4436657613,0.0140790715455321
2007,136782785.84,0.0720673860308255,8910106.773979796,0.9038839893622239,0.2721900585144646,2425242.484179688,2133968.3161447523,0.0156011467600969
2008,159848294.45999998,0.0671295395522537,9667010.246645343,0.9008873812249275,0.2685183221671309,2595769.3718016697,2268923.8339176155,0.0141942323600167
2009,149679870.03,0.0632207573654957,8519068.181340674,0.9002621729979892,0.2675318391510503,2279121.9784072638,1990612.7869659888,0.0132991349242019
2010,205287237.9,0.0677886705427909,12669542.858246256,0.9104201827623487,0.2652631307589525,3360762.6038631294,2946453.7348427395,0.0143528344235311
2011,259420469.09,0.0611431055953703,14497607.507408777,0.9139966499245397,0.2656248174550654,3850924.347690642,3353504.410917654,0.0129269075130468
2012,290890544.65,0.0642381398593643,17182167.002760094,0.919507708590909,0.2677332649481864,4600237.670533954,3998953.323620487,0.0137472784769681
2013,356523009.17,0.0677081947351625,22366681.767369535,0.9265583209737284,0.26822627788924,5999331.799194658,5253278.794636626,0.0147347538854966
2014,394910197.28,0.0731309993224988,27003770.36145624,0.9350278571958527,0.2708686003991129,7314473.483306699,6417710.488138217,0.0162510629817642
2015,408478320.7,0.0802906123616113,30984784.81115246,0.944745217459242,0.2678979964618662,8300761.771709806,7328317.331571165,0.0179405294239674
2016,473420791.8000001,0.0908537315932477,40594940.43126687,0.9438039952122853,0.271075463779754,11004292.304517154,9671701.696728371,0.020429397830111
2017,521802349.74,0.0951776363205059,47081249.758849114,0.9479971614479918,0.2689471291254461,12662366.95828057,11106255.171277268,0.0212844100391867
2018,564916504.29,0.0924513909493225,49441901.56378706,0.9466674681025528,0.2677976296118062,13240424.042282429,11468886.63206336,0.0203019146103329
