month,as_of_month,undiscounted_loss,discounted_loss,marginal_pd_dollars,expected_default_exposure,cumulative_discounted_loss
1,2019-01-01,481543.25175942364,479589.3454009413,2091698.8969807443,2091698.8969807443,479589.3454009413
2,2019-02-01,545520.0812683176,541102.0661994338,2361028.4958991664,2356812.457001631,1020691.4116003751
3,2019-03-01,576816.9814594769,569823.9681391873,2290623.0194101515,2282263.7163452357,1590515.3797395625
4,2019-04-01,529855.9780493911,521308.4191976393,2323859.5507418476,2310868.7234771266,2111823.798937202
5,2019-05-01,583660.7611212333,571915.1781781971,2332534.203262533,2314934.317163453,2683738.977115399
6,2019-06-01,572396.795382999,558602.0743697752,2320693.846342414,2298649.1507728714,3242341.0514851743
7,2019-07-01,524679.0121715997,509956.65969692735,2302243.644390016,2275883.959838539,3752297.7111821016
8,2019-08-01,523478.84054009366,506725.70132820454,2310716.329398893,2279757.4972278257,4259023.412510307
9,2019-09-01,514649.8196153262,496157.83128619834,2290306.559246051,2255160.5893746284,4755181.243796505
10,2019-10-01,536812.9456472322,515424.70543534233,2286171.580686869,2246637.6636024565,5270605.949231847
11,2019-11-01,523378.44719063904,500486.43406684505,2266022.8012736044,2222423.6805978604,5771092.383298692
12,2019-12-01,550955.5188757805,524719.5417864575,2225364.7095358367,2178211.456875007,6295811.92508515
13,2020-01-01,497187.08252541954,471590.1903564,2175614.106603507,2125272.2381183044,6767402.11544155
14,2020-02-01,509465.10230922035,481275.3204421253,2113477.617458761,2060446.5090389159,7248677.435883675
15,2020-03-01,619702.5686358437,583037.7466030361,2539077.3218624257,2470399.290796412,7831715.182486711
16,2020-04-01,939666.2792696244,880483.5436202664,3258754.3949134354,3164222.2502577086,8712198.726106977
17,2020-05-01,1324065.636094327,1235638.241266503,4414100.599725214,4277479.192118783,9947836.96737348
18,2020-06-01,1892803.2431902925,1759225.5458158348,5831607.353191261,5639993.448489216,11707062.513189314
19,2020-07-01,2116780.768899515,1959413.7788502334,6887407.988112644,6648151.337623355,13666476.292039547
20,2020-08-01,2520697.6535453247,2323834.8405398796,8092447.003195815,7796205.989300257,15990311.132579427
21,2020-09-01,2841163.044672225,2608644.4114354337,9483892.071279492,9118760.99538877,18598955.54401486
22,2020-10-01,3298572.046869994,3016330.5032415343,11453813.890326587,10990731.302816927,21615286.047256395
23,2020-11-01,3832897.608924542,3490715.0188057595,13331629.907266693,12766327.977904806,25106001.066062156
24,2020-12-01,3932139.9544789535,3566566.852135105,14429846.623813853,13789098.042335488,28672567.91819726
25,2021-01-01,4110597.3274939335,3713304.4879774787,15053881.84316471,14355026.628553467,32385872.406174738
26,2021-02-01,4324497.521482869,3890679.928847474,15203866.829785528,14467094.215140302,36276552.33502221
27,2021-03-01,3942557.685758703,3532662.3806109866,14805254.089804793,14057456.12473591,39809214.7156332
28,2021-04-01,3775041.198803193,3368836.9962662505,14063652.0251957,13324345.98381516,43178051.71189945
29,2021-05-01,3375742.4505233373,3000280.313276938,13066991.6438533,12353026.78821805,46178332.02517639
30,2021-06-01,3149486.23660089,2787831.15469316,12172782.887064904,11482332.978057813,48966163.17986955
31,2021-07-01,3042517.6004157765,2682218.0244005285,11293533.036731089,10629287.077563506,51648381.20427008
32,2021-08-01,2607127.9614047157,2289061.968877563,10423423.366687005,9788375.464914046,53937443.17314764
33,2021-09-01,2335133.4020437463,2041931.2874002436,9574334.395811582,8970713.77781345,55979374.46054789
34,2021-10-01,2306262.932477883,2008502.938582676,8810348.965822456,8236107.6961430535,57987877.39913056
35,2021-11-01,1994827.9953247386,1730227.9853188887,8127794.449739131,7580609.832100322,59718105.38444945
36,2021-12-01,1875408.66898796,1620048.5208836712,7577203.529285919,7050741.029580181,61338153.905333124
37,2022-01-01,1612715.0391313669,1387471.1572778437,7022109.759126006,6518982.460203201,62725625.06261097
38,2022-02-01,1549683.130053635,1327833.001510308,6492633.552666761,6013295.631585132,64053458.064121276
39,2022-03-01,1388729.713971448,1185093.1995611247,5983980.516889366,5529096.7134031,65238551.2636824
40,2022-04-01,1337081.9427858193,1136389.0147299112,5494690.230654549,5064912.378873333,66374940.27841231
41,2022-05-01,1133948.6360852509,959835.0638634373,5139562.271696465,4726188.029326884,67334775.34227575
