portfolio_scope,fit_provenance,fit_end,as_of_month,published_quarter,unemployment_rate,house_price_index,hpi_change_yoy,within_published_window,unemployment_change_3m,unemployment_rate_lag_1,unemployment_change_3m_lag_1,hpi_change_yoy_lag_1,unemployment_rate_lag_3,unemployment_change_3m_lag_3,hpi_change_yoy_lag_3,unemployment_rate_lag_6,unemployment_change_3m_lag_6,hpi_change_yoy_lag_6,scenario
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-01-01,2019Q1,3.7,207.0,0.04020100502512558,True,-1.5890165710235529,5.26251369176064,0.0678342072911784,0.0409741572863872,5.289016571023553,0.1203145232618521,0.0610305255420792,5.168702047761701,0.06392753814730678,0.0446066410194316,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-02-01,2019Q1,3.7,207.0,0.04020100502512558,True,-1.616855954105863,3.7,-1.5890165710235529,0.04020100502512558,5.316855954105863,0.16219983368663637,0.0578212674869129,5.154656120419227,0.014263149501918093,0.0587016716635857,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-03-01,2019Q1,3.7,207.0,0.04020100502512558,True,-1.56251369176064,3.7,-1.616855954105863,0.04020100502512558,5.26251369176064,0.0678342072911784,0.0409741572863872,5.194679484469462,0.02248485315933557,0.0531317086034572,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-04-01,2019Q2,3.6,208.0,0.02970297029702973,True,-0.10000000000000009,3.7,-1.56251369176064,0.04020100502512558,3.7,-1.5890165710235529,0.04020100502512558,5.289016571023553,0.1203145232618521,0.0610305255420792,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-05-01,2019Q2,3.6,208.0,0.02970297029702973,True,-0.10000000000000009,3.6,-0.10000000000000009,0.02970297029702973,3.7,-1.616855954105863,0.04020100502512558,5.316855954105863,0.16219983368663637,0.0578212674869129,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-06-01,2019Q2,3.6,208.0,0.02970297029702973,True,-0.10000000000000009,3.6,-0.10000000000000009,0.02970297029702973,3.7,-1.56251369176064,0.04020100502512558,5.26251369176064,0.0678342072911784,0.0409741572863872,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-07-01,2019Q3,3.6,209.0,0.02450980392156854,True,0.0,3.6,-0.10000000000000009,0.02970297029702973,3.6,-0.10000000000000009,0.02970297029702973,3.7,-1.5890165710235529,0.04020100502512558,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-08-01,2019Q3,3.6,209.0,0.02450980392156854,True,0.0,3.6,0.0,0.02450980392156854,3.6,-0.10000000000000009,0.02970297029702973,3.7,-1.616855954105863,0.04020100502512558,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-09-01,2019Q3,3.6,209.0,0.02450980392156854,True,0.0,3.6,0.0,0.02450980392156854,3.6,-0.10000000000000009,0.02970297029702973,3.7,-1.56251369176064,0.04020100502512558,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-10-01,2019Q4,3.6,210.0,0.024390243902439046,True,0.0,3.6,0.0,0.02450980392156854,3.6,0.0,0.02450980392156854,3.6,-0.10000000000000009,0.02970297029702973,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-11-01,2019Q4,3.6,210.0,0.024390243902439046,True,0.0,3.6,0.0,0.024390243902439046,3.6,0.0,0.02450980392156854,3.6,-0.10000000000000009,0.02970297029702973,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2019-12-01,2019Q4,3.6,210.0,0.024390243902439046,True,0.0,3.6,0.0,0.024390243902439046,3.6,0.0,0.02450980392156854,3.6,-0.10000000000000009,0.02970297029702973,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-01-01,2020Q1,3.6,212.0,0.024154589371980784,True,0.0,3.6,0.0,0.024390243902439046,3.6,0.0,0.024390243902439046,3.6,0.0,0.02450980392156854,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-02-01,2020Q1,3.6,212.0,0.024154589371980784,True,0.0,3.6,0.0,0.024154589371980784,3.6,0.0,0.024390243902439046,3.6,0.0,0.02450980392156854,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-03-01,2020Q1,3.6,212.0,0.024154589371980784,True,0.0,3.6,0.0,0.024154589371980784,3.6,0.0,0.024390243902439046,3.6,0.0,0.02450980392156854,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-04-01,2020Q2,3.6,213.0,0.024038461538461453,True,0.0,3.6,0.0,0.024154589371980784,3.6,0.0,0.024154589371980784,3.6,0.0,0.024390243902439046,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-05-01,2020Q2,3.6,213.0,0.024038461538461453,True,0.0,3.6,0.0,0.024038461538461453,3.6,0.0,0.024154589371980784,3.6,0.0,0.024390243902439046,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-06-01,2020Q2,3.6,213.0,0.024038461538461453,True,0.0,3.6,0.0,0.024038461538461453,3.6,0.0,0.024154589371980784,3.6,0.0,0.024390243902439046,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-07-01,2020Q3,3.7,214.0,0.02392344497607657,True,0.10000000000000009,3.6,0.0,0.024038461538461453,3.6,0.0,0.024038461538461453,3.6,0.0,0.024154589371980784,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-08-01,2020Q3,3.7,214.0,0.02392344497607657,True,0.10000000000000009,3.7,0.10000000000000009,0.02392344497607657,3.6,0.0,0.024038461538461453,3.6,0.0,0.024154589371980784,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-09-01,2020Q3,3.7,214.0,0.02392344497607657,True,0.10000000000000009,3.7,0.10000000000000009,0.02392344497607657,3.6,0.0,0.024038461538461453,3.6,0.0,0.024154589371980784,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-10-01,2020Q4,3.8,216.0,0.02857142857142847,True,0.09999999999999964,3.7,0.10000000000000009,0.02392344497607657,3.7,0.10000000000000009,0.02392344497607657,3.6,0.0,0.024038461538461453,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-11-01,2020Q4,3.8,216.0,0.02857142857142847,True,0.09999999999999964,3.8,0.09999999999999964,0.02857142857142847,3.7,0.10000000000000009,0.02392344497607657,3.6,0.0,0.024038461538461453,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2020-12-01,2020Q4,3.8,216.0,0.02857142857142847,True,0.09999999999999964,3.8,0.09999999999999964,0.02857142857142847,3.7,0.10000000000000009,0.02392344497607657,3.6,0.0,0.024038461538461453,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2021-01-01,2021Q1,3.9,217.0,0.02358490566037741,True,0.10000000000000009,3.8,0.09999999999999964,0.02857142857142847,3.8,0.09999999999999964,0.02857142857142847,3.7,0.10000000000000009,0.02392344497607657,baseline
