portfolio_scope,fit_provenance,fit_end,month,as_of_month,undiscounted_loss,discounted_loss,marginal_pd_dollars,expected_default_exposure,cumulative_discounted_loss,scenario
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,1,2019-01-01,367796.8773281169,366304.50742236985,1508094.2900001407,1508094.2900001407,366304.50742236985,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2,2019-02-01,374968.7952665727,371932.02752009965,1490341.6349963627,1487962.2074050063,738236.5349424696,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,3,2019-03-01,339306.34180746163,335192.77746350865,1344601.0192432343,1340267.1409562097,1073429.3124059783,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,4,2019-04-01,365669.23009671905,359770.30775930773,1383430.2225222376,1376679.2529992298,1433199.6201652861,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,5,2019-05-01,353956.68398376467,346833.66344356793,1343505.6292390365,1334693.9658686782,1780033.283608854,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,6,2019-06-01,342040.537062759,333797.38507090195,1302533.6551039992,1291790.2799042673,2113830.668679756,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,7,2019-07-01,342343.09674563445,332737.04119426105,1278016.5481423056,1265307.4433764766,2446567.709874017,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,8,2019-08-01,335093.6060871372,324369.448018017,1254603.1211344616,1239993.6911814334,2770937.1578920344,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,9,2019-09-01,330190.1289740032,318325.99965993036,1239809.5230764037,1223262.1717280946,3089263.1575519647,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,10,2019-10-01,327708.83202169044,314651.9277952341,1233368.4986409785,1214807.008631084,3403915.085347199,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,11,2019-11-01,326732.3768644441,312441.4523923004,1233163.679852913,1212504.8498943753,3716356.5377394995,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,12,2019-12-01,326889.83979524014,311323.65694784775,1237164.6058148614,1214330.3582013296,4027680.1946873474,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,13,2020-01-01,328014.68265291926,311127.36446461396,1243462.176325318,1218390.5288856158,4338807.5591519615,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,14,2020-02-01,329036.3225353223,310830.0467441453,1250575.1798082097,1223223.7683482892,4649637.605896107,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,15,2020-03-01,330019.45141853235,310493.78690456826,1257465.9971102474,1227811.7254842583,4960131.392800675,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,16,2020-04-01,330959.05073786,310114.3503982823,1263473.7471692562,1231510.419899171,5270245.743198957,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,17,2020-05-01,331413.56979751756,309280.1968068633,1268208.827731101,1233944.4505034324,5579525.94000582,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,18,2020-06-01,331499.24350315286,308104.891349629,1271471.9213399708,1234926.0278857765,5887630.831355449,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,19,2020-07-01,333956.36496819166,309129.17986948846,1283187.7786007787,1244084.407278259,6196760.011224938,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,20,2020-08-01,334498.9631731748,308375.0816576514,1288195.6772286769,1246703.7963703952,6505135.092882589,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,21,2020-09-01,334561.49228001,307181.23296526034,1291359.9934083973,1247516.0927643678,6812316.32584785,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,22,2020-10-01,327507.4743208831,299484.37408576877,1293600.653734193,1247417.5487123982,7111800.699933619,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,23,2020-11-01,327107.0511686111,297904.5131841961,1294945.4072786847,1246439.2376298732,7409705.213117816,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,24,2020-12-01,326523.4425028348,296166.3877576732,1295554.976242623,1244739.8108996998,7705871.6008754885,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,25,2021-01-01,333053.2815266151,300863.3895508296,1295209.9216450471,1242112.3091314815,8006734.990426318,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,26,2021-02-01,331944.97258397785,298645.4809832925,1293776.6505559857,1238433.6354510405,8305380.4714096105,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,27,2021-03-01,330506.47592252376,296144.7585807802,1291025.403997332,1233489.8145261372,8601525.229990391,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,28,2021-04-01,322068.1863911534,287412.8160452579,1286976.5038266755,1227307.054184119,8888938.04603565,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,29,2021-05-01,320020.917590508,284427.0476661427,1281613.9306575002,1219876.840319146,9173365.093701791,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,30,2021-06-01,317698.09748922626,281216.86758761544,1275106.9854819416,1211366.8681855404,9454581.961289406,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,31,2021-07-01,306227.0794401588,269963.20150183584,1257571.43111323,1192411.7220161527,9724545.162791241,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,32,2021-08-01,302338.89088786166,265453.9658541117,1244268.4369590473,1177512.922808718,9989999.128645353,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,33,2021-09-01,298398.63962078496,260931.35314071274,1230666.03758351,1162365.3651417356,10250930.481786067,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,34,2021-10-01,300915.435157149,262064.45382558936,1215928.104920825,1146183.7813923808,10512994.935611656,baseline
