portfolio_scope,fit_provenance,fit_end,origin_state,destination_state,baseline_expected_balance_flow,severely_adverse_expected_balance_flow,increase_in_expected_balance_flow
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,1384631816.0945387,2430790604.7194066,1046158788.6248679
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,675715799.97977,1661817729.675408,986101929.695638
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,379567540.8852894,1219200034.5482612,839632493.6629717
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,244170681.87672153,964423390.0885162,720252708.2117947
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,DPD150,165056408.187318,764337915.9424883,599281507.7551703
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,1358470392.7131286,1911970158.062231,553499765.3491025
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,610116802.1769583,1107321212.0056152,497204409.8286569
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,ChargeOff,103695541.50075096,579067335.6053869,475371794.1046359
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,292752502.6933871,647775442.991435,355022940.29804796
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,DPD90,150785205.98746523,390067956.24278647,239282750.25532123
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,DPD120,64821935.43171579,186360192.1351094,121538256.70339361
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Prepaid,6666611.70080869,11297944.831935078,4631333.131126388
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,Prepaid,3305120.810019184,7786624.439015564,4481503.62899638
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,Prepaid,1952514.5848031845,5614355.057439884,3661840.4726366997
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,Prepaid,1198999.8874906334,4361727.231197589,3162727.3437069557
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,Prepaid,669774.8858131225,2961712.507351159,2291937.6215380365
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Repurchased,281631.7896981434,477282.99857974227,195651.2088815989
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,Repurchased,139625.21452709872,328946.85859703465,189321.64406993592
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,Repurchased,82484.20661175529,237179.08493692783,154694.87832517253
