portfolio_scope,fit_provenance,fit_end,origin,destination,feature,coefficient,selected_macro_timing,bic,regularization_c
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,intercept,2.8911916146870937,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_0,0.7960431181564643,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_1,0.6043414160938788,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_2,0.4433152267702942,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_3,0.4121088022272937,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_4,0.4160103023735416,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,mob_spline_5,0.2188774037913175,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,score_risk,-0.0344717596490738,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,score_risk_positive,-0.1253902238271273,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,unemployment_rate_excess_4_8,-0.0694589745593992,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,unemployment_change_3m,-0.0730291636252063,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Current,hpi_change_yoy,0.1696579610625194,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,intercept,-1.443578293541066,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_0,-0.2285559439059807,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_1,0.0001978007799757,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_2,-0.0202744052011737,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
