portfolio_scope,fit_provenance,fit_end,vintage,max_observed_mob,status,original_accounts,original_balance,average_outstanding_balance,observed_rate_original_balance,ultimate_rate_original_balance_chain_ladder,ultimate_rate_original_balance_scaled_average,observed_rate_average_outstanding,ultimate_rate_average_outstanding_chain_ladder,ultimate_rate_average_outstanding_scaled_average
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2000-Q1,119,Observed,318,137690000.0,84465072.32699999,0.0153921120633306,0.0153921120633306,0.0153921120633306,0.0250913170570095,0.0250913170570095,0.0250913170570095
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2000-Q2,119,Observed,313,136870000.0,88579626.77083333,0.0096219571856506,0.0096219571856506,0.0096219571856506,0.0148674963759684,0.0148674963759684,0.0148674963759684
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2000-Q3,119,Observed,313,131830000.0,87685576.15366666,0.0106875403929302,0.0106875403929302,0.0106875403929302,0.0160680754099268,0.0160680754099268,0.0160680754099268
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2000-Q4,119,Observed,349,149730000.0,92349213.47408332,0.0088486257930942,0.0088486257930942,0.0088486257930942,0.0143466813647721,0.0143466813647721,0.0143466813647721
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2001-Q1,119,Observed,331,144350000.0,90633537.63191669,0.0082167141669553,0.0082167141669553,0.0082167141669553,0.0130865761283306,0.0130865761283306,0.0130865761283306
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2001-Q2,119,Observed,314,139720000.0,88165599.55825,0.0091528617950186,0.0091528617950186,0.0091528617950186,0.0145049526845795,0.0145049526845795,0.0145049526845795
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2001-Q3,119,Observed,353,155635000.0,98795043.96166666,0.007586533363318,0.007586533363318,0.007586533363318,0.0119513092221319,0.0119513092221319,0.0119513092221319
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2001-Q4,119,Observed,329,145840000.0,87012435.88008334,0.0078826937739989,0.0078826937739989,0.0078826937739989,0.0132120431794869,0.0132120431794869,0.0132120431794869
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2002-Q1,119,Observed,333,148730000.0,90523043.18725,0.0129721631143683,0.0129721631143683,0.0129721631143683,0.021313355716611,0.021313355716611,0.021313355716611
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2002-Q2,119,Observed,345,154475000.0,96266831.36883332,0.0087461039003074,0.0087461039003074,0.0087461039003074,0.0140344746034448,0.0140344746034448,0.0140344746034448
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2002-Q3,119,Observed,309,138620000.0,89617456.50075,0.0108348042129562,0.0108348042129562,0.0108348042129562,0.0167592410970448,0.0167592410970448,0.0167592410970448
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2002-Q4,119,Observed,331,139415000.0,85492748.32775,0.007503854965391,0.007503854965391,0.007503854965391,0.012236709667929,0.012236709667929,0.012236709667929
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2003-Q1,119,Observed,335,146065000.0,92759966.65916666,0.0101573801389792,0.0101573801389792,0.0101573801389792,0.0159943754125248,0.0159943754125248,0.0159943754125248
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2003-Q2,119,Observed,332,147015000.0,87887268.90141667,0.009238511104309,0.009238511104309,0.009238511104309,0.0154538845839378,0.0154538845839378,0.0154538845839378
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2003-Q3,119,Observed,310,134485000.0,81899446.19183333,0.0102349702940848,0.0102349702940848,0.0102349702940848,0.0168065847084721,0.0168065847084721,0.0168065847084721
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2003-Q4,119,Observed,330,144845000.0,91805233.33958334,0.014823154751631,0.014823154751631,0.014823154751631,0.0233871182708955,0.0233871182708955,0.0233871182708955
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2004-Q1,119,Observed,298,133035000.0,83190882.27499999,0.0063696293456609,0.0063696293456609,0.0063696293456609,0.0101860157847448,0.0101860157847448,0.0101860157847448
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2004-Q2,119,Observed,314,130170000.0,85967188.51441666,0.0095401060152108,0.0095401060152108,0.0095401060152108,0.0144454601977793,0.0144454601977793,0.0144454601977793
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2004-Q3,119,Observed,301,129565000.0,84202494.79941668,0.0104124995947979,0.0104124995947979,0.0104124995947979,0.0160220372711491,0.0160220372711491,0.0160220372711491
