portfolio_scope,fit_provenance,fit_end,vintage,max_observed_mob,status,original_accounts,original_balance,average_outstanding_balance,observed_rate_original_balance,ultimate_rate_original_balance_chain_ladder,ultimate_rate_original_balance_scaled_average,observed_rate_average_outstanding,ultimate_rate_average_outstanding_chain_ladder,ultimate_rate_average_outstanding_scaled_average
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2000,119,Observed,1293,556120000.0,353079488.7255833,0.0110949801841329,0.0110949801841329,0.0110949801841329,0.0174752161397726,0.0174752161397726,0.0174752161397726
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2001,119,Observed,1327,585545000.0,364606617.0319167,0.0081894008487819,0.0081894008487819,0.0081894008487819,0.013151880673576,0.013151880673576,0.013151880673576
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2002,119,Observed,1318,581240000.0,361900079.38458335,0.0100276559080586,0.0100276559080586,0.0100276559080586,0.0161052043147141,0.0161052043147141,0.0161052043147141
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2003,119,Observed,1307,572410000.0,354351915.092,0.0111202586782201,0.0111202586782201,0.0111202586782201,0.0179633494243917,0.0179633494243917,0.0179633494243917
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2004,119,Observed,1260,543375000.0,348654225.42758334,0.0088425473383942,0.0088425473383942,0.0088425473383942,0.0137810438238844,0.0137810438238844,0.0137810438238844
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2005,119,Observed,1311,562575000.0,352450081.0808333,0.0121840799715593,0.0121840799715593,0.0121840799715593,0.0194480272751815,0.0194480272751815,0.0194480272751815
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2006,119,Observed,1283,565940000.0,353760924.96750003,0.0142204766052938,0.0142204766052938,0.0142204766052938,0.0227496480306279,0.0227496480306279,0.0227496480306279
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2007,119,Observed,1328,585270000.0,360232064.88125,0.0140021040374528,0.0140021040374528,0.0140021040374528,0.0227492559073037,0.0227492559073037,0.0227492559073037
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2008,119,Observed,1373,601340000.0,380064272.6800833,0.0106764080387135,0.0106764080387135,0.0106764080387135,0.0168922776264322,0.0168922776264322,0.0168922776264322
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2009,108,Projected,1316,582020000.0,376020980.7993578,0.0099425188825126,0.0104737670313097,0.0104767120328645,0.0153894201001719,0.0162117067898815,0.0171026958599074
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2010,96,Projected,1360,601110000.0,417649949.33649486,0.0055637792084643,0.0062450423345847,0.006244769566262,0.0080077666124782,0.0089882864913692,0.0100408077615965
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2011,84,Projected,1325,586260000.0,441959377.53470594,0.0041731623682325,0.0051488104216383,0.0051528347460509,0.0055357082446064,0.0068299073426779,0.0080752745150986
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2012,72,Projected,1322,574950000.0,451213763.78315073,0.00487068181581,0.0066003246304942,0.0066078303023464,0.0062063676571396,0.0084103299830331,0.010504192935376
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2013,60,Projected,1331,584450000.0,488053769.92557377,0.0022996082299597,0.0039320558119795,0.0039497457396981,0.0027538072909568,0.0047086820365343,0.0062144812027455
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2014,48,Projected,1323,582805000.0,509718057.6969388,0.006055918772145,0.0140302557566844,0.0141368707241466,0.006924258787195,0.0160420120158587,0.0223107898414849
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2015,36,Projected,1282,555745000.0,498992597.74702704,0.0026659644441245,0.0119347644190087,0.0120408644262572,0.0029691751274256,0.0132921523926184,0.0193634673589224
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2016,24,Projected,1318,573285000.0,539062315.5855999,0.0007248602353105,0.0082342911420591,0.00826530619455,0.0007708784086466,0.0087570499010809,0.0131976059847783
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2017,12,Projected,1297,570635000.0,555375863.8761538,3.495949249520279e-05,0.0025025249576235,0.0024951064617644,3.592001615044726e-05,0.0025712826611276,0.0039900384983102
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2018,0,Projected,1326,582525000.0,582525000.0,0.0,0.0,0.0,0.0,0.0,0.0
